"MYE4: Population estimates: Summary for the UK, mid-2001 to mid-2020",,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Freeze panes are turned on. ,,,,,,,,,,,,,,,,,,,,,,
"To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,,,,,,,,,,,,,,
Please choose from the links presented in the cells below to e-mail us your opinion on this table: ,,,,,,,,,,,,,,,,,,,,,,
"This met my needs, please produce it next year",,,,,,,,,,,,,,,,,,,,,,
I need something slightly different (please specify),,,,,,,,,,,,,,,,,,,,,,
This is not what I need at all (please specify),,,,,,,,,,,,,,,,,,,,,,
Code,Name,Geography,Mid-2020,Mid-2019,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011,Mid-2010,Mid-2009,Mid-2008,Mid-2007, Mid-2006,Mid-2005,Mid-2004,Mid-2003,Mid-2002,Mid-2001
E07000136,Boston,Non-metropolitan District,70837,70173,69366,68488,67709,66876,66454,65831,64855,64615,64475,63399,62176,61036,59770,58551,58090,56975,56391,55802
E07000137,East Lindsey,Non-metropolitan District,142030,141727,140741,139718,138743,138068,137722,136799,136651,136683,137251,137140,137466,136939,135960,135473,134889,133218,132144,130654
E07000138,Lincoln,Non-metropolitan District,100049,99299,99039,98438,97385,96641,95910,95371,94535,93085,92188,90813,90207,89873,89433,88603,87746,86405,85669,85584
E07000139,North Kesteven,Non-metropolitan District,118149,116915,115985,115230,113644,112186,111197,109935,109311,108518,107478,106456,105495,103844,102275,100710,99943,98593,96898,94378
E07000140,South Holland,Non-metropolitan District,95857,95019,93980,93295,92527,91245,90382,89184,88546,88390,87905,86987,85957,84506,83158,81696,80832,79299,77918,76714
E07000141,South Kesteven,Non-metropolitan District,143225,142424,141853,141662,140900,139376,138339,136612,135212,134125,133144,132188,131218,130196,128966,127665,127129,126209,125485,124877
E07000142,West Lindsey,Non-metropolitan District,96186,95667,94869,94340,93903,92958,91882,90791,90074,89352,89364,88616,88261,87345,85852,84626,83786,82498,81075,79631
E10000024,Nottinghamshire,County,833377,828224,823126,817851,811483,806217,801616,796423,790167,786796,783645,780105,776071,771330,767827,764515,760966,756426,752581,748809
E07000170,Ashfield,Non-metropolitan District,128337,127918,127151,126164,124513,123577,122490,121546,120120,119522,118566,117875,116971,116301,115704,115020,114105,113048,112488,111477
E07000171,Bassetlaw,Non-metropolitan District,118280,117459,116839,116304,115212,114689,114256,113704,113235,113003,112924,112563,112106,111314,110876,110488,110017,109276,108451,107843
E07000172,Broxtowe,Non-metropolitan District,114627,114033,113272,112718,112116,111837,111534,111077,110568,109749,109252,109217,108730,108272,108254,108290,108085,107822,107832,107481
E07000173,Gedling,Non-metropolitan District,118239,117896,117786,117128,116746,116142,115815,114974,114061,113741,113066,112688,112293,111924,111699,111919,111847,111684,111943,111812
E07000174,Mansfield,Non-metropolitan District,109351,109313,108841,108576,107880,106780,105972,105334,104812,104551,104120,103711,103269,102139,101347,100413,99706,99250,98367,98065
E07000175,Newark and Sherwood,Non-metropolitan District,123127,122421,121566,120965,119848,118695,117859,116878,115851,114982,114596,113914,113309,112471,111534,110553,109776,108359,106954,106351
E07000176,Rushcliffe,Non-metropolitan District,121416,119184,117671,115996,115168,114497,113690,112910,111520,111248,111121,110137,109393,108909,108413,107832,107430,106987,106546,105780
E12000005,WEST MIDLANDS,Region,5961929,5934037,5900757,5860706,5810773,5755032,5713439,5675030,5642763,5608667,5565866,5528007,5496240,5451924,5415521,5380687,5346376,5325475,5301243,5280727
E06000019,"Herefordshire, County of",Unitary Authority,193615,192801,192107,191041,189532,188522,187737,186389,185197,183619,182865,182367,181791,179930,178103,176587,176033,175648,175258,174885
E06000051,Shropshire,Unitary Authority,325415,323136,320274,317459,314392,312227,310774,309085,308416,307108,304523,302069,300473,297633,294531,291523,288810,286913,284901,283254
E06000021,Stoke-on-Trent,Unitary Authority,256622,256375,255833,255378,253659,251746,250956,250194,249792,248719,247381,245869,245509,243697,243069,241481,241078,240031,239955,240422
E06000020,Telford and Wrekin,Unitary Authority,181322,179854,177799,175768,173727,171677,169768,168642,167811,166831,165641,164889,164089,163368,162710,161535,160603,159848,159401,158573
E10000028,Staffordshire,County,883172,879560,875219,870825,866430,862166,859870,856837,852039,849546,845272,841270,838142,833122,827321,822713,818563,815228,810199,807152
E07000192,Cannock Chase,Non-metropolitan District,101484,100762,100109,99126,98513,98490,98508,98106,97932,97582,96898,96514,95999,95391,94991,94772,94179,93751,93000,92165
E07000193,East Staffordshire,Non-metropolitan District,120923,119754,118574,117552,116937,116196,115720,114940,114487,113858,112979,112033,111191,109776,108466,107609,106800,106065,104487,103938
E07000194,Lichfield,Non-metropolitan District,105637,104756,103965,103507,102831,102566,102062,101716,101175,100911,100424,100012,99490,98528,97432,96307,95580,94467,93679,93229
E07000195,Newcastle-under-Lyme,Non-metropolitan District,129610,129441,129490,128963,128126,126863,125978,125184,124104,123878,123351,123073,123213,123526,123191,123170,123076,122657,122165,122015
E07000196,South Staffordshire,Non-metropolitan District,112369,112436,112126,111890,111173,110712,110688,110323,108443,108318,108050,107561,107501,107144,106655,106428,106300,106300,106013,105942
E07000197,Stafford,Non-metropolitan District,137858,137280,135880,134764,133664,132220,132044,131984,131554,130895,130001,129041,128320,127055,125620,124361,123224,122447,121409,120712
E07000198,Staffordshire Moorlands,Non-metropolitan District,98427,98435,98397,98496,98176,98011,97838,97488,97239,97209,96987,96781,96604,96295,95888,95342,94980,94997,94927,94555
